"Fund Category","Fund Name","Scheme Name","Dividend Date","Dividend Individual/ HUF (Rs) per Unit","Dividend Others (Rs) per Unit"
"Close Ended","HDFC FMP 1116D July 2014 (1)","HDFC FMP 1116D July 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1444","0.1337"
"Close Ended","HDFC FMP 1116D July 2014 (1)","HDFC FMP 1116D July 2014 (1) Series 31 - Regular - Quarterly Dividend","27 Mar, 2017","0.1464","0.1357"
"Close Ended","HDFC FMP 1123D July 2014 (1)","HDFC FMP 1123D July 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1453","0.1346"
"Close Ended","HDFC FMP 1123D July 2014 (1)","HDFC FMP 1123D July 2014 (1) Series 31 - Direct - Quarterly Dividend","27 Mar, 2017","0.1541","0.1428"
"Close Ended","HDFC FMP 371D June 2014 (3)","HDFC FMP 371D June 2014 (3) Series 31 - Regular - Normal Dividend","08 Aug, 2017","1.2732","1.1796"
"Close Ended","HDFC FMP 371D June 2014 (3)","HDFC FMP 371D June 2014 (3) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1452","0.1345"
"Close Ended","HDFC FMP 371D June 2014 (3)","HDFC FMP 371D June 2014 (3) Series 31 - Direct - Normal Dividend","08 Aug, 2017","0.0498","0.0462"
"Close Ended","HDFC FMP 371D June 2014 (3)","HDFC FMP 371D June 2014 (3) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1588","0.1471"
"Close Ended","HDFC FMP 750D June 2014 (1)","HDFC FMP 750D June 2014 (1) Series 31 - Regular - Normal Dividend","27 Jul, 2016","1.3392","1.2407"
"Close Ended","HDFC FMP 750D June 2014 (1)","HDFC FMP 750D June 2014 (1) Series 31 - Direct - Normal Dividend","27 Jul, 2016","1.3921","1.2897"
"Close Ended","HDFC FMP 750D June 2014 (1)","HDFC FMP 750D June 2014 (1) Series 31 - Direct - Quarterly Dividend","27 Mar, 2017","0.1313","0.1216"
"Close Ended","HDFC FMP 750D June 2014 (1)","HDFC FMP 750D June 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1404","0.1301"
"Close Ended","HDFC FMP 370D June 2014 (2)","HDFC FMP 370D June 2014 (2) Series 31 - Direct - Normal Dividend","01 Aug, 2017","1.2919","1.1969"
"Close Ended","HDFC FMP 370D June 2014 (2)","HDFC FMP 370D June 2014 (2) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1459","0.1352"
"Close Ended","HDFC FMP 370D June 2014 (2)","HDFC FMP 370D June 2014 (2) Series 31 - Regular - Normal Dividend","01 Aug, 2017","1.2741","1.1805"
"Close Ended","HDFC FMP 370D June 2014 (2)","HDFC FMP 370D June 2014 (2) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1720","0.1593"
"Close Ended","HDFC Capital Protection Oriented Fund - Sr II- 36M June 14","HDFC CPO 36M June 2014 - Series II - Regular - Normal Dividend Payout","29 Jun, 2017","1.4815","1.3726"
"Close Ended","HDFC Capital Protection Oriented Fund - Sr II- 36M June 14","HDFC CPO 36M June 2014 - Series II - Direct - Normal Dividend Payout","29 Jun, 2017","1.6132","1.4946"
"Close Ended","HDFC FMP 371D June 2014 (2)","HDFC FMP 371D June 2014 (2) Series 31 - Direct - Normal Dividend","01 Aug, 2017","1.2871","1.1925"
"Close Ended","HDFC FMP 371D June 2014 (2)","HDFC FMP 371D June 2014 (2) Series 31 - Regular - Normal Dividend","01 Aug, 2017","1.2694","1.1761"
"Close Ended","HDFC FMP 371D June 2014 (2)","HDFC FMP 371D June 2014 (2) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1819","0.1685"
"Close Ended","HDFC FMP 370D June 2014 (1)","HDFC FMP 370D June 2014 (1) Series 31 - Direct - Normal Dividend","08 Jun, 2015","0.6547","0.6066"
"Close Ended","HDFC FMP 370D June 2014 (1)","HDFC FMP 370D June 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1664","0.1542"
"Close Ended","HDFC FMP 370D June 2014 (1)","HDFC FMP 370D June 2014 (1) Series 31 - Regular - Normal Dividend","01 Aug, 2017","1.2939","1.1987"
"Close Ended","HDFC FMP 370D June 2014 (1)","HDFC FMP 370D June 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1506","0.1395"
"Close Ended","HDFC FMP 747D June 2014 (1)","HDFC FMP 747D June 2014 (1) Series 31 - Regular - Normal Dividend","27 Jun, 2017","0.5335","0.4943"
"Close Ended","HDFC FMP 747D June 2014 (1)","HDFC FMP 747D June 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1357","0.1257"
"Close Ended","HDFC FMP 747D June 2014 (1)","HDFC FMP 747D June 2014 (1) Series 31 - Direct - Normal Dividend","27 Jun, 2017","0.5335","0.4949"
"Close Ended","HDFC FMP 747D June 2014 (1)","HDFC FMP 747D June 2014 (1) Series 31 - Direct - Quarterly Dividend","27 Mar, 2017","0.1304","0.1208"
"Close Ended","HDFC FMP 371D June 2014 (1)","HDFC FMP 371D June 2014 (1) Series 31 - Direct - Normal Dividend","16 Jun, 2015","0.6520","0.6041"
"Close Ended","HDFC FMP 371D June 2014 (1)","HDFC FMP 371D June 2014 (1) Series 31 - Direct - Quarterly Dividend","01 Aug, 2017","0.0358","0.0332"
"Close Ended","HDFC FMP 371D June 2014 (1)","HDFC FMP 371D June 2014 (1) Series 31 - Regular - Normal Dividend","01 Aug, 2017","1.2824","1.1881"
"Close Ended","HDFC FMP 371D June 2014 (1)","HDFC FMP 371D June 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1542","0.1428"
"Close Ended","HDFC FMP 366D May 2014 (2)","HDFC FMP 366D May 2014 (2) Series 31 - Direct - Normal Dividend","01 Aug, 2017","1.3223","1.2250"
"Close Ended","HDFC FMP 366D May 2014 (2)","HDFC FMP 366D May 2014 (2) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1470","0.1362"
"Close Ended","HDFC FMP 366D May 2014 (2)","HDFC FMP 366D May 2014 (2) Series 31 - Regular - Normal Dividend","01 Aug, 2017","1.3040","1.2081"
"Close Ended","HDFC FMP 366D May 2014 (2)","HDFC FMP 366D May 2014 (2) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1266","0.1173"
"Close Ended","HDFC FMP 371D May 2014 (1)","HDFC FMP 371D May 2014 (1) Series 31 - Regular - Normal Dividend","01 Aug, 2017","1.3059","1.2099"
"Close Ended","HDFC FMP 371D May 2014 (1)","HDFC FMP 371D May 2014 (1) Series 31 - Direct - Normal Dividend","01 Aug, 2017","1.3190","1.2220"
"Close Ended","HDFC FMP 371D May 2014 (1)","HDFC FMP 371D May 2014 (1) Series 31 - Regular - Quarterly Dividend","27 Mar, 2017","0.1208","0.1119"
"Close Ended","HDFC FMP 371D May 2014 (1)","HDFC FMP 371D May 2014 (1) Series 31 - Direct - Quarterly Dividend","27 Mar, 2017","0.1224","0.1134"
"Close Ended","HDFC FMP 370D May 2014 (2)","HDFC FMP 370D May 2014 (2) Series 31 - Regular - Quarterly Dividend","25 Mar, 2015","0.1487","0.1379"
"Close Ended","HDFC FMP 370D May 2014 (2)","HDFC FMP 370D May 2014 (2) Series 31 - Direct - Quarterly Dividend","25 Mar, 2015","0.1489","0.1381"
"Close Ended","HDFC FMP 370D May 2014 (2)","HDFC FMP 370D May 2014 (2) Series 31 - Direct - Normal Dividend","20 Jun, 2017","1.2609","1.1682"
"Close Ended","HDFC FMP 367D May 2014 (2)","HDFC FMP 367D May 2014 (2) Series 31 - Direct - Normal Dividend","20 Jun, 2017","1.2827","1.1884"
"Close Ended","HDFC FMP 367D May 2014 (2)","HDFC FMP 367D May 2014 (2) Series 31 - Regular - Normal Dividend","20 Jun, 2017","1.2648","1.1718"
"Close Ended","HDFC FMP 367D May 2014 (2)","HDFC FMP 367D May 2014 (2) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.2020","0.2020"
"Close Ended","HDFC FMP 367D May 2014 (2)","HDFC FMP 367D May 2014 (2) Series 31 - Direct - Quarterly Dividend","27 Mar, 2017","0.1195","0.1107"
"Close Ended","HDFC FMP 366D May 2014 (1)","HDFC FMP 366D May 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1211","0.1122"
"Close Ended","HDFC FMP 366D May 2014 (1)","HDFC FMP 366D May 2014 (1) Series 31 - Regular - Normal Dividend","20 Jun, 2017","1.2559","1.1636"
"Close Ended","HDFC FMP 366D May 2014 (1)","HDFC FMP 366D May 2014 (1) Series 31 - Direct - Normal Dividend","20 Jun, 2017","1.2737","1.1801"
"Close Ended","HDFC FMP 366D May 2014 (1)","HDFC FMP 366D May 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1242","0.1150"
"Close Ended","HDFC FMP 370D May 2014 (1)","HDFC FMP 370D May 2014 (1) Series 31 - Regular - Normal Dividend","13 May, 2015","0.6659","0.6170"
"Close Ended","HDFC FMP 370D May 2014 (1)","HDFC FMP 370D May 2014 (1) Series 31 - Regular - Quarterly Dividend","13 May, 2015","0.0824","0.0764"
"Close Ended","HDFC FMP 370D May 2014 (1)","HDFC FMP 370D May 2014 (1) Series 31 - Direct - Quarterly Dividend","27 Mar, 2017","0.1210","0.1121"
"Close Ended","HDFC FMP 367D May 2014 (1)","HDFC FMP 367D May 2014 (1) Series 31 - Direct - Normal Dividend","20 Jun, 2017","1.2958","1.2005"
"Close Ended","HDFC FMP 367D May 2014 (1)","HDFC FMP 367D May 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1423","0.1319"
"Close Ended","HDFC FMP 367D May 2014 (1)","HDFC FMP 367D May 2014 (1) Series 31 - Regular - Normal Dividend","20 Jun, 2017","1.2778","1.1838"
"Close Ended","HDFC FMP 367D May 2014 (1)","HDFC FMP 367D May 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1563","0.1448"
"Close Ended","HDFC FMP 730D April 2014 (1)","HDFC FMP 730D April 2014 (1) Series 31 - Direct - Normal Dividend","11 May, 2016","1.3836","1.2819"
"Close Ended","HDFC FMP 730D April 2014 (1)","HDFC FMP 730D April 2014 (1) Series 31 - Regular - Normal Dividend","11 May, 2016","1.3143","1.2177"
"Close Ended","HDFC FMP 730D April 2014 (1)","HDFC FMP 730D April 2014 (1) Series 31 - Regular - Quarterly Dividend","27 Mar, 2017","0.1257","0.1164"
"Close Ended","HDFC FMP 730D April 2014 (1)","HDFC FMP 730D April 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1627","0.1507"
"Close Ended","HDFC FMP 370D April 2014 (4)","HDFC FMP 370D April 2014 (4) Series 31 - Regular - Normal Dividend","05 May, 2015","0.6773","0.6275"
"Close Ended","HDFC FMP 370D April 2014 (4)","HDFC FMP 370D April 2014 (4) Series 31 - Direct - Normal Dividend","05 May, 2015","0.6812","0.6311"
"Close Ended","HDFC FMP 370D April 2014 (4)","HDFC FMP 370D April 2014 (4) Series 31 - Direct - Quarterly Dividend","27 Mar, 2017","0.1397","0.1294"
"Close Ended","HDFC FMP 367D April 2014 (1)","HDFC FMP 367D April 2014 (1) Series 31 - Direct - Normal Dividend","30 Apr, 2015","0.6719","0.6225"
"Close Ended","HDFC FMP 367D April 2014 (1)","HDFC FMP 367D April 2014 (1) Series 31 - Regular - Normal Dividend","30 Apr, 2015","0.6680","0.6188"
"Close Ended","HDFC FMP 367D April 2014 (1)","HDFC FMP 367D April 2014 (1) Series 31 - Regular - Quarterly Dividend","30 Apr, 2015","0.0668","0.0619"
"Close Ended","HDFC FMP 367D April 2014 (1)","HDFC FMP 367D April 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1542","0.1428"
"Close Ended","HDFC FMP 370D April 2014 (3)","HDFC FMP 370D April 2014 (3) Series 31 - Regular - Normal Dividend","27 Apr, 2015","0.6730","0.6235"
"Close Ended","HDFC FMP 370D April 2014 (3)","HDFC FMP 370D April 2014 (3) Series 31 - Direct - Normal Dividend","27 Apr, 2015","0.6770","0.6272"
"Close Ended","HDFC FMP 370D April 2014 (3)","HDFC FMP 370D April 2014 (3) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1421","0.1316"
"Close Ended","HDFC FMP 370D April 2014 (3)","HDFC FMP 370D April 2014 (3) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1418","0.1313"
"Close Ended","HDFC FMP 370D April 2014 (2)","HDFC FMP 370D April 2014 (2) Series 31 - Regular - Normal Dividend","20 Apr, 2015","0.6731","0.6236"
"Close Ended","HDFC FMP 370D April 2014 (2)","HDFC FMP 370D April 2014 (2) Series 31 - Direct - Normal Dividend","20 Apr, 2015","0.6771","0.6273"
"Close Ended","HDFC FMP 370D April 2014 (2)","HDFC FMP 370D April 2014 (2) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1424","0.1319"
"Close Ended","HDFC FMP 370D April 2014 (2)","HDFC FMP 370D April 2014 (2) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1363","0.1263"
"Close Ended","HDFC FMP 369D April 2014 (2)","HDFC FMP 369D April 2014 (2) Series 31 - Direct - Normal Dividend","20 Apr, 2015","0.6685","0.6193"
"Close Ended","HDFC FMP 369D April 2014 (2)","HDFC FMP 369D April 2014 (2) Series 31 - Regular - Normal Dividend","20 Apr, 2015","0.6645","0.6156"
"Close Ended","HDFC FMP 1100D April 2014 (1)","HDFC FMP 1100D April 2014 (1) Series 31 - Direct - Quarterly Dividend","27 Mar, 2017","0.1486","0.1377"
"Close Ended","HDFC FMP 1100D April 2014 (1)","HDFC FMP 1100D April 2014 (1) Series 31 - Regular - Quarterly Dividend","27 Mar, 2017","0.1393","0.1291"
"Close Ended","HDFC FMP 369D April 2014 (1)","HDFC FMP 369D April 2014 (1) Series 31 - Direct - Normal Dividend","07 Apr, 2015","0.6738","0.6243"
"Close Ended","HDFC FMP 369D April 2014 (1)","HDFC FMP 369D April 2014 (1) Series 31 - Regular - Normal Dividend","07 Apr, 2015","0.6698","0.6206"
"Close Ended","HDFC FMP 369D April 2014 (1)","HDFC FMP 369D April 2014 (1) Series 31 - Regular - Quarterly Dividend","27 Mar, 2017","0.1178","0.1091"
"Close Ended","HDFC FMP 369D April 2014 (1)","HDFC FMP 369D April 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1707","0.1581"
"Close Ended","HDFC FMP 370D April 2014 (1)","HDFC FMP 370D April 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1369","0.1268"
"Close Ended","HDFC FMP 370D April 2014 (1)","HDFC FMP 370D April 2014 (1) Series 31 - Regular - Normal Dividend","23 May, 2017","1.2611","1.1684"
"Close Ended","HDFC FMP 370D April 2014 (1)","HDFC FMP 370D April 2014 (1) Series 31 - Direct - Normal Dividend","23 May, 2017","1.2798","1.1857"
"Close Ended","HDFC FMP 370D April 2014 (1)","HDFC FMP 370D April 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1737","0.1610"
"Close Ended","HDFC FMP 377D March 2014 (1)","HDFC FMP 377D March 2014 (1) Series 31 - Direct - Normal Dividend","07 Apr, 2015","0.6869","0.6364"
"Close Ended","HDFC FMP 377D March 2014 (1)","HDFC FMP 377D March 2014 (1) Series 31 - Regular - Normal Dividend","07 Apr, 2015","0.6585","0.6101"
"Close Ended","HDFC FMP 377D March 2014 (1)","HDFC FMP 377D March 2014 (1) Series 31 - Regular - Quarterly Dividend","25 Sep, 2017","0.1415","0.1311"
"Close Ended","HDFC FMP 377D March 2014 (1)","HDFC FMP 377D March 2014 (1) Series 31 - Direct - Quarterly Dividend","25 Sep, 2017","0.1136","0.1053"
"Close Ended","HDFC FMP 1127D March 2014 (1)","HDFC FMP 1127D March 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1691","0.1567"
"Close Ended","HDFC FMP 1127D March 2014 (1)","HDFC FMP 1127D March 2014 (1) Series 29 - Direct - Quarterly Dividend","27 Mar, 2017","0.1345","0.1246"
"Close Ended","HDFC FMP 369D March 2014 (3)","HDFC FMP 369D March 2014 (3) Series 29 - Regular - Normal Dividend","24 Mar, 2015","0.6756","0.6265"
"Close Ended","HDFC FMP 369D March 2014 (3)","HDFC FMP 369D March 2014 (3) Series 29 - Direct - Normal Dividend","02 May, 2017","1.3152","1.2185"
"Close Ended","HDFC FMP 369D March 2014 (3)","HDFC FMP 369D March 2014 (3) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1134","0.1051"
"Close Ended","HDFC FMP 384D March 2014 (1)","HDFC FMP 384D March 2014 (1) Series 29 - Regular - Normal Dividend","07 Apr, 2015","0.6850","0.6346"
"Close Ended","HDFC FMP 384D March 2014 (1)","HDFC FMP 384D March 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1183","0.1096"
"Close Ended","HDFC FMP 378D March 2014 (1)","HDFC FMP 378D March 2014 (1) Series 29 - Direct - Normal Dividend","07 Apr, 2015","0.6924","0.6415"
"Close Ended","HDFC FMP 378D March 2014 (1)","HDFC FMP 378D March 2014 (1) Series 29 - Regular - Normal Dividend","07 Apr, 2015","0.6637","0.6149"
"Close Ended","HDFC FMP 378D March 2014 (1)","HDFC FMP 378D March 2014 (1) Series 29 - Regular - Quarterly Dividend","27 Mar, 2017","0.1176","0.1090"
"Close Ended","HDFC FMP 1095D March 2014 (1)","HDFC FMP 1095D March 2014 (1) Series 29 - Direct - Normal Dividend","10 Apr, 2017","0.0211","0.0195"
"Close Ended","HDFC FMP 1095D March 2014 (1)","HDFC FMP 1095D March 2014 (1) Series 29 - Regular - Normal Dividend","24 Mar, 2017","2.3201","2.1496"
"Close Ended","HDFC FMP 1095D March 2014 (1)","HDFC FMP 1095D March 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1474","0.1366"
"Close Ended","HDFC FMP 1095D March 2014 (1)","HDFC FMP 1095D March 2014 (1) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1546","0.1433"
"Close Ended","HDFC FMP 366D March 2014 (1)","HDFC FMP 366D March 2014 (1) Series 29 - Regular - Normal Dividend","19 Mar, 2015","0.6806","0.6312"
"Close Ended","HDFC FMP 366D March 2014 (1)","HDFC FMP 366D March 2014 (1) Series 29 - Direct - Normal Dividend","02 May, 2017","1.3178","1.2209"
"Close Ended","HDFC FMP 366D March 2014 (1)","HDFC FMP 366D March 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1554","0.1440"
"Close Ended","HDFC FMP 366D March 2014 (1)","HDFC FMP 366D March 2014 (1) Series 29 - Direct - Quarterly Dividend","02 May, 2017","0.0459","0.0426"
"Close Ended","HDFC FMP 369D March 2014 (2)","HDFC FMP 369D March 2014 (2) Series 29 - Direct - Normal Dividend","02 May, 2017","1.3303","1.2325"
"Close Ended","HDFC FMP 369D March 2014 (2)","HDFC FMP 369D March 2014 (2) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1474","0.1366"
"Close Ended","HDFC FMP 390D March 2014 (1)","HDFC FMP 390D March 2014 (1) Series 29 - Direct - Normal Dividend","07 Apr, 2015","0.7335","0.6796"
"Close Ended","HDFC FMP 390D March 2014 (1)","HDFC FMP 390D March 2014 (1) Series 29 - Regular - Normal Dividend","07 Apr, 2015","0.7039","0.6522"
"Close Ended","HDFC FMP 390D March 2014 (1)","HDFC FMP 390D March 2014 (1) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1437","0.1331"
"Close Ended","HDFC FMP 390D March 2014 (1)","HDFC FMP 390D March 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1237","0.1146"
"Close Ended","HDFC FMP 3360D March 2014 (1)","HDFC FMP 3360D March 2014 (1) Series 29 - Regular - Quarterly Dividend","18 Mar, 2020","0.1249","0.1157"
"Close Ended","HDFC FMP 3360D March 2014 (1)","HDFC FMP 3360D March 2014 (1) Series 29 - Direct - Quarterly Dividend","18 Mar, 2020","0.1264","0.1170"
"Close Ended","HDFC FMP 400D March 2014 (1)","HDFC FMP 400D March 2014 (1) Series 29 - Direct - Normal Dividend","23 May, 2017","1.2791","1.1851"
"Close Ended","HDFC FMP 400D March 2014 (1)","HDFC FMP 400D March 2014 (1) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1965","0.1821"
"Close Ended","HDFC FMP 400D March 2014 (1)","HDFC FMP 400D March 2014 (1) Series 29 - Regular - Normal Dividend","23 May, 2017","1.2613","1.1686"
"Close Ended","HDFC FMP 400D March 2014 (1)","HDFC FMP 400D March 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1446","0.1340"
"Close Ended","HDFC FMP 369D March 2014 (1)","HDFC FMP 369D March 2014 (1) Series 29 - Regular - Normal Dividend","10 Mar, 2015","0.7043","0.6531"
"Close Ended","HDFC FMP 369D March 2014 (1)","HDFC FMP 369D March 2014 (1) Series 29 - Direct - Normal Dividend","10 Mar, 2015","0.7083","0.6569"
"Close Ended","HDFC FMP 369D March 2014 (1)","HDFC FMP 369D March 2014 (1) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1208","0.1119"
"Close Ended","HDFC FMP 435D MARCH 2014 (1)","HDFC FMP 435D March 2014 (1) Series 29 - Direct - Normal Dividend","14 May, 2015","0.8385","0.7769"
"Close Ended","HDFC FMP 435D MARCH 2014 (1)","HDFC FMP 435D March 2014 (1) Series 29 - Regular - Normal Dividend","14 May, 2015","0.8050","0.7458"
"Close Ended","HDFC FMP 435D MARCH 2014 (1)","HDFC FMP 435D March 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.2118","0.1962"
"Close Ended","HDFC FMP 435D MARCH 2014 (1)","HDFC FMP 435D March 2014 (1) Series 29 - Direct - Quarterly Dividend","27 Mar, 2017","0.1358","0.1258"
"Close Ended","HDFC FMP 370D MARCH 2014 (1)","HDFC FMP 370D March 2014 (1) Series 29 - Direct - Normal Dividend","09 Mar, 2015","0.7211","0.6687"
"Close Ended","HDFC FMP 370D MARCH 2014 (1)","HDFC FMP 370D March 2014 (1) Series 29 - Regular - Normal Dividend","02 May, 2017","1.3241","1.2268"
"Close Ended","HDFC FMP 370D MARCH 2014 (1)","HDFC FMP 370D March 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1189","0.1102"
"Close Ended","HDFC FMP 370D MARCH 2014 (1)","HDFC FMP 370D March 2014 (1) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1406","0.1302"
"Close Ended","HDFC FMP 434D FEBRUARY 2014 (1)","HDFC FMP 434D February 2014 (1) Series 29 - Direct - Normal Dividend","05 May, 2015","0.8410","0.7792"
"Close Ended","HDFC FMP 434D FEBRUARY 2014 (1)","HDFC FMP 434D February 2014 (1) Series 29 - Regular - Normal Dividend","05 May, 2015","0.8074","0.7481"
"Close Ended","HDFC FMP 434D FEBRUARY 2014 (1)","HDFC FMP 434D February 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1771","0.1641"
"Close Ended","HDFC FMP 371D FEBRUARY 2014 (2)","HDFC FMP 371D February 2014 (2) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1674","0.1551"
"Close Ended","HDFC FMP 793D FEBRUARY 2014 (1)","HDFC FMP 793D February 2014 (1) Series 29 - Direct - Normal Dividend","28 Apr, 2016","1.7706","1.6404"
"Close Ended","HDFC FMP 793D FEBRUARY 2014 (1)","HDFC FMP 793D February 2014 (1) Series 29 - Regular - Normal Dividend","28 Apr, 2016","1.7414","1.6134"
"Close Ended","HDFC FMP 793D FEBRUARY 2014 (1)","HDFC FMP 793D February 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1293","0.1198"
"Close Ended","HDFC FMP 793D FEBRUARY 2014 (1)","HDFC FMP 793D February 2014 (1) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1517","0.1405"
"Close Ended","HDFC FMP 369D FEBRUARY 2014 (2)","HDFC FMP 369D February 2014 (2) Series 29 - Direct - Normal Dividend","24 Feb, 2015","0.7155","0.6635"
"Close Ended","HDFC FMP 369D FEBRUARY 2014 (2)","HDFC FMP 369D February 2014 (2) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1559","0.1444"
"Close Ended","HDFC FMP 369D FEBRUARY 2014 (2)","HDFC FMP 369D February 2014 (2) Series 29 - Regular - Normal Dividend","17 Apr, 2017","1.3429","1.2442"
"Close Ended","HDFC FMP 369D FEBRUARY 2014 (2)","HDFC FMP 369D February 2014 (2) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1484","0.1375"
"Close Ended","HDFC FMP 441D FEBRUARY 2014 (1)","HDFC FMP 441D February 2014 (1) Series 29 - Regular - Normal Dividend","05 May, 2015","0.8222","0.7617"
"Close Ended","HDFC FMP 441D FEBRUARY 2014 (1)","HDFC FMP 441D February 2014 (1) Series 29 - Direct - Normal Dividend","05 May, 2015","0.8563","0.7934"
"Close Ended","HDFC FMP 441D FEBRUARY 2014 (1)","HDFC FMP 441D February 2014 (1) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1487","0.1377"
"Close Ended","HDFC FMP 441D FEBRUARY 2014 (1)","HDFC FMP 441D February 2014 (1) Series 29 - Regular - Quarterly Dividend","27 Mar, 2017","0.1398","0.1295"
"Close Ended","HDFC CAPITAL PROTECTION ORIENTED FUND - SR II- 36M FEB 14","HDFC CPO 36M February 2014 - Series II - Direct - Normal Dividend Payout","06 Mar, 2017","1.8552","1.7188"
"Close Ended","HDFC CAPITAL PROTECTION ORIENTED FUND - SR II- 36M FEB 14","HDFC CPO 36M February 2014 - Series II - Regular - Normal Dividend Payout","06 Mar, 2017","1.7190","1.5926"
"Close Ended","HDFC FMP 371D FEBRUARY 2014 (1)","HDFC FMP 371D February 2014 (1) Series 29 - Direct - Quarterly Dividend","27 Mar, 2017","0.1127","0.1044"
"Close Ended","HDFC FMP 370D FEBRUARY 2014 (1)","HDFC FMP 370D February 2014 (1) Series 29 - Direct - Normal Dividend","17 Apr, 2017","1.3587","1.2588"
"Close Ended","HDFC FMP 370D FEBRUARY 2014 (1)","HDFC FMP 370D February 2014 (1) Series 29 - Direct - Quarterly Dividend","25 Sep, 2017","0.1203","0.1114"
"Close Ended","HDFC FMP 370D FEBRUARY 2014 (1)","HDFC FMP 370D February 2014 (1) Series 29 - Regular - Normal Dividend","17 Apr, 2017","1.3399","1.2414"
"Close Ended","HDFC FMP 370D FEBRUARY 2014 (1)","HDFC FMP 370D February 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1148","0.1063"
"Close Ended","HDFC FMP 447D February 2014 (1)","HDFC FMP 447D February 2014 (1) Series 29 - Regular - Normal Dividend","05 May, 2015","0.8212","0.7608"
"Close Ended","HDFC FMP 447D February 2014 (1)","HDFC FMP 447D February 2014 (1) Series 29 - Direct - Normal Dividend","05 May, 2015","0.8558","0.7929"
"Close Ended","HDFC FMP 447D February 2014 (1)","HDFC FMP 447D February 2014 (1) Series 29 - Direct - Quarterly Dividend","27 Mar, 2017","0.1393","0.1290"
"Close Ended","HDFC FMP 447D February 2014 (1)","HDFC FMP 447D February 2014 (1) Series 29 - Regular - Quarterly Dividend","25 Sep, 2017","0.1496","0.1386"
"Close Ended","HDFC FMP 369D February 2014 (1)","HDFC FMP 369D February 2014 (1) Series 29 - Regular - Normal Dividend","10 Feb, 2015","0.7002","0.6494"
