"Fund Category","Fund Name","Scheme Name","Dividend Date","Dividend Individual/ HUF (Rs) per Unit","Dividend Others (Rs) per Unit"
"Theme Based Debt","HDFC Dynamic Debt Fund","HDFC Dynamic Debt Fund - Yearly Dividend Option","18 Mar, 2020","0.5500","0.5093"
"Theme Based Debt","HDFC Dynamic Debt Fund","HDFC Dynamic Debt Fund - Yearly Dividend - Direct Plan","18 Mar, 2020","0.5500","0.5093"
"Theme Based Debt","HDFC Corporate Bond Fund","HDFC Corporate Bond Fund - Quarterly Dividend Option","18 Mar, 2020","0.1145","0.1060"
"Theme Based Debt","HDFC Corporate Bond Fund","HDFC Corporate Bond Fund - Quarterly Div Option - Direct Plan","18 Mar, 2020","0.0348","0.0322"
"Theme Based Debt","HDFC Credit Risk Debt Fund","HDFC Credit Risk Debt Fund - Quarterly Dividend Option","18 Mar, 2020","0.0785","0.0727"
"Theme Based Debt","HDFC Credit Risk Debt Fund","HDFC Credit Risk Debt Fund - Quarterly Dividend - Direct Plan","18 Mar, 2020","0.0846","0.0783"
"Theme Based Debt","HDFC Gilt Fund","HDFC Gilt Fund - Dividend Plan","18 Mar, 2020","0.1500","0.1389"
"Theme Based Debt","HDFC Gilt Fund","HDFC Gilt Fund - Dividend Option - Direct Plan","18 Mar, 2020","0.1500","0.1389"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Retail Monthly Div Option","30 Apr, 2019","0.0516","0.0478"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Retail Weekly Div Option","06 May, 2019","0.0081","0.0075"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Retail Daily Div Option","10 May, 2019","0.0027","0.0025"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Direct Plan - Monthly Div","24 Feb, 2020","0.0494","0.0458"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Wholesale Monthly Div Option","24 Feb, 2020","0.0486","0.0450"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Direct Plan - Weekly Div","09 Mar, 2020","0.0053","0.0049"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Wholesale Weekly Div Option","09 Mar, 2020","0.0050","0.0047"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Direct Plan - Daily Div","03 Apr, 2020","0.0027","0.0027"
"Theme Based Debt","HDFC Floating Rate Debt Fund","HDFC Floating Rate  Debt Fund - Wholesale Daily Div Option","03 Apr, 2020","0.0025","0.0025"
"Duration Based Debt","HDFC Income Fund","HDFC Income Fund - Dividend","18 Mar, 2020","0.1500","0.1389"
"Duration Based Debt","HDFC Income Fund","HDFC Income Fund - Direct Plan - Dividend","18 Mar, 2020","0.1500","0.1389"
"Duration Based Debt","HDFC Liquid Fund","HDFC Liquid Fund - Dividend - Daily Reinvest","06 Apr, 2020","0.3721","0.3721"
"Duration Based Debt","HDFC Liquid Fund","HDFC Liquid Fund - Dividend Daily - Direct Plan","06 Apr, 2020","0.3805","0.3805"
"Duration Based Debt","HDFC Medium Term Debt Fund","HDFC Medium Term Debt Fund - Fornightly Dividend Option","11 Mar, 2020","0.0146","0.0135"
"Duration Based Debt","HDFC Medium Term Debt Fund","HDFC Medium Term Debt Fund - Fortnightly Div Opt - Direct Plan","11 Mar, 2020","0.0172","0.0159"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Wholesale Monthly Dividend","30 Apr, 2019","0.0519","0.0480"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Wholesale Weekly Dividend","06 May, 2019","0.0084","0.0077"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Wholesale Daily Dividend","10 May, 2019","0.0022","0.0021"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Retail Monthly Dividend","24 Feb, 2020","0.0488","0.0452"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Direct Plan - Monthly Dividend","24 Feb, 2020","0.0522","0.0483"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Retail Weekly Dividend","09 Mar, 2020","0.0032","0.0029"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Direct Plan - Weekly Dividend","09 Mar, 2020","0.0040","0.0037"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Retail Daily Dividend","03 Apr, 2020","0.0052","0.0052"
"Duration Based Debt","HDFC Low Duration Fund","HDFC Low Duration  Fund - Direct Plan - Daily Dividend","03 Apr, 2020","0.0057","0.0057"
"Duration Based Debt","HDFC Money Market Fund","HDFC Money Market Fund - Daily Dividend Option","03 Apr, 2020","0.8257","0.8257"
"Duration Based Debt","HDFC Money Market Fund","HDFC Money Market Fund - Daily Dividend Option - Direct Plan","03 Apr, 2020","0.8432","0.8432"
"Duration Based Debt","HDFC Money Market Fund","HDFC Money Market Fund - Weekly Dividend Option","03 Apr, 2020","5.5312","5.5312"
"Duration Based Debt","HDFC Money Market Fund","HDFC Money Market Fund - Weekly Dividend Option -Direct Plan","03 Apr, 2020","5.6952","5.6952"
"Duration Based Debt","HDFC Short Term Debt Fund","HDFC Short Term Opportunities Fund - Dividend","11 Mar, 2020","0.0071","0.0066"
"Duration Based Debt","HDFC Short Term Debt Fund","HDFC Short Term Opportunities Fund - Direct Plan - Dividend","11 Mar, 2020","0.0079","0.0073"
"Duration Based Debt","HDFC Overnight Fund","HDFC Overnight Fund - Dividend Option (Daily)","06 Apr, 2020","0.1792","0.1792"
"Duration Based Debt","HDFC Overnight Fund","HDFC Overnight Fund - Dividend Option - Direct Plan","06 Apr, 2020","0.1878","0.1878"
"Duration Based Debt","HDFC Ultra Short Term Fund","HDFC Ultra Short Term Fund-Monthly Dividend Option","24 Feb, 2020","0.0354","0.0328"
"Duration Based Debt","HDFC Ultra Short Term Fund","HDFC Ultra Short Term Fund-Direct Plan-Monthly Dividend Option","24 Feb, 2020","0.0370","0.0343"
"Duration Based Debt","HDFC Ultra Short Term Fund","HDFC Ultra Short Term Fund-Weekly Dividend Option","09 Mar, 2020","0.0133","0.0123"
"Duration Based Debt","HDFC Ultra Short Term Fund","HDFC Ultra Short Term Fund-Direct Plan-Weekly Dividend Option","09 Mar, 2020","0.0135","0.0125"
"Duration Based Debt","HDFC Ultra Short Term Fund","HDFC Ultra Short Term Fund-Daily Dividend Option","03 Apr, 2020","0.0080","0.0080"
"Duration Based Debt","HDFC Ultra Short Term Fund","HDFC Ultra Short Term Fund-Direct Plan-Daily Dividend Option","03 Apr, 2020","0.0083","0.0083"
"Close Ended","HDFC Focused Equity Fund - Plan B","HDFC Focused Equity Fund - Plan-B - Regular - Normal Dividend","09 May, 2018","0.4427","0.4427"
"Close Ended","HDFC Focused Equity Fund - Plan B","HDFC Focused Equity Fund - Plan-B - Direct - Normal Dividend","09 May, 2018","0.4427","0.4427"
"Close Ended","HDFC Focused Equity Fund - Plan A","HDFC Focused Equity Scheme - Plan-A - - Regular - Normal Dividend","26 Feb, 2018","2.7370","2.7370"
"Close Ended","HDFC Focused Equity Fund - Plan A","HDFC Focused Equity Scheme - Plan-A - - Direct - Normal Dividend","26 Feb, 2018","2.9480","2.9480"
"Close Ended","HDFC Inflation Indexed Bond Fund","HDFC Inflation Indexed Bond Fund - Regular Quarterly Dividend","25 Jun, 2015","0.4104","0.3802"
"Close Ended","HDFC Inflation Indexed Bond Fund","HDFC Inflation Indexed Bond Fund - Regular Dividend","28 Sep, 2015","0.2907","0.2694"
"Close Ended","HDFC Focused Large-Cap fund","HDFC Focused Large-Cap Fund - Dividend","20 Mar, 2014","1.0000","1.0000"
"Close Ended","HDFC Focused Large-Cap fund","HDFC Focused Large-Cap Fund -Direct Plan - Dividend Option","20 Mar, 2014","1.0000","1.0000"
"Close Ended","HDFC FMP 1177D March 2018 (1)","HDFC FMP 1177D March 2018 (1) - Regular - Quarterly Dividend - Series-39","18 Mar, 2020","0.1423","0.1318"
"Close Ended","HDFC FMP 1177D March 2018 (1)","HDFC FMP 1177D March 2018 (1) - Direct - Quarterly Dividend - Series-39","18 Mar, 2020","0.1473","0.1364"
"Close Ended","HDFC FMP 1145D March 2018 (1)","HDFC FMP 1145D March 2018 (1) - Regular - Quarterly Dividend - Series-39","18 Mar, 2020","0.1207","0.1118"
"Close Ended","HDFC FMP 1145D March 2018 (1)","HDFC FMP 1145D March 2018 (1) - Direct - Quarterly Dividend - Series-39","18 Mar, 2020","0.1250","0.1157"
"Close Ended","HDFC FMP 1147D March 2018 (1)","HDFC FMP 1147D March 2018 (1) - Regular - Quarterly Dividend - Series-39","18 Mar, 2020","0.1212","0.1122"
"Close Ended","HDFC FMP 1147D March 2018 (1)","HDFC FMP 1147D March 2018 (1) - Direct - Quarterly Dividend - Series-39","18 Mar, 2020","0.1253","0.1160"
"Close Ended","HDFC FMP 92D March 2018 (1)","HDFC FMP 92D March 2018 (1) - Regular - Normal Dividend - Series-39","13 Jun, 2018","0.1292","0.1196"
"Close Ended","HDFC FMP 92D March 2018 (1)","HDFC FMP 92D March 2018 (1) - Direct - Normal Dividend - Series-39","13 Jun, 2018","0.1311","0.1214"
"Close Ended","HDFC FMP 1143D March 2018 (1)","HDFC FMP 1143D March 2018 (1) - Regular - Quarterly Dividend - Series-39","18 Mar, 2020","0.1227","0.1136"
"Close Ended","HDFC FMP 1208D March 2018 (1)","HDFC FMP 1208D March 2018 (1) - Regular - Quarterly Dividend - Series-39","18 Mar, 2020","0.1262","0.1168"
"Close Ended","HDFC FMP 1208D March 2018 (1)","HDFC FMP 1208D March 2018 (1) - Direct - Quarterly Dividend - Series-39","18 Mar, 2020","0.1311","0.1214"
"Close Ended","HDFC FMP 1150D March 2018 (1)","HDFC FMP 1150D March 2018 (1) - Regular - Quarterly Dividend - Series-39","18 Mar, 2020","0.1211","0.1122"
"Close Ended","HDFC FMP 1150D March 2018 (1)","HDFC FMP 1150D March 2018 (1) - Direct - Quarterly Dividend - Series-39","18 Mar, 2020","0.1253","0.1161"
"Close Ended","HDFC FMP 1158D February 2018 (1)","HDFC FMP 1158D February 2018 (1) - Regular - Quarterly Dividend - Series-39","18 Mar, 2020","0.1247","0.1154"
"Close Ended","HDFC FMP 1158D February 2018 (1)","HDFC FMP 1158D February 2018 (1) - Direct - Quarterly Dividend - Series-39","18 Mar, 2020","0.1270","0.1176"
"Close Ended","HDFC FMP 92D February 2018 (1)","HDFC FMP 92D February 2018 (1) - Regular - Normal Dividend - Series-39","30 May, 2018","0.1344","0.1245"
"Close Ended","HDFC FMP 92D February 2018 (1)","HDFC FMP 92D February 2018 (1) - Direct - Normal Dividend - Series-39","30 May, 2018","0.1363","0.1262"
"Close Ended","HDFC FMP 1430D July 2017 (1)","HDFC FMP 1430D JULY 2017 (1) - Regular - Quarterly Dividend - Series-38","18 Mar, 2020","0.0734","0.0680"
"Close Ended","HDFC FMP 1430D July 2017 (1)","HDFC FMP 1430D July 2017 (1) - Direct - Quarterly Dividend - Series-38","18 Mar, 2020","0.0751","0.0695"
"Close Ended","HDFC FMP 1136D JUNE 2017 (1)","HDFC FMP 1136D JUNE 2017 (1) - Regular Quarterly Dividend - Series-38","18 Mar, 2020","0.1210","0.1120"
"Close Ended","HDFC FMP 1136D JUNE 2017 (1)","HDFC FMP 1136D JUNE 2017 (1) - Direct-Quarterly Dividend - Series-38","18 Mar, 2020","0.1228","0.1137"
"Close Ended","HDFC FMP 1166D MAY 2017 (1)","HDFC FMP 1166D May 2017 (1) - Regular - Quarterly Dividend - Series - 38","18 Mar, 2020","0.1177","0.1090"
"Close Ended","HDFC FMP 1166D MAY 2017 (1)","HDFC FMP 1166D May 2017 (1) - Direct - Quarterly Dividend - Series - 38","18 Mar, 2020","0.1195","0.1107"
"Close Ended","HDFC FMP 1165D April 2017 (1)","HDFC FMP 1165D Apr 2017 (1)- Regular Quarterly Dividend - Series-38","18 Mar, 2020","0.0998","0.0924"
"Close Ended","HDFC FMP 1165D April 2017 (1)","HDFC FMP 1165D April 2017 (1) - Direct-Quarterly Dividend - Series-38","18 Mar, 2020","0.1048","0.0971"
