"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Diversified Equity","HDFC Equity Fund","101763","HDFC Equity Fund - Dividend","03 Apr, 2020","28.4380"
"Diversified Equity","HDFC Equity Fund","118954","HDFC Equity Fund - Direct Plan - Dividend","03 Apr, 2020","31.0730"
"Diversified Equity","HDFC Equity Fund","101762","HDFC Equity Fund - Growth","03 Apr, 2020","436.1270"
"Diversified Equity","HDFC Equity Fund","118955","HDFC Equity Fund - Direct Plan - Growth Option","03 Apr, 2020","460.9650"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","105757","HDFC Mid-Cap Opportunities Fund - Dividend","03 Apr, 2020","17.0010"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","118988","HDFC Mid-Cap Opportunities Fund - Direct Plan - Dividend","03 Apr, 2020","21.5830"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","105758","HDFC Mid-Cap Opportunities Fund - Growth","03 Apr, 2020","37.4810"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","118989","HDFC Mid-Cap Opportunities Fund - Direct Plan - Growth Option","03 Apr, 2020","39.8230"
"Diversified Equity","HDFC Small Cap Fund","130501","HDFC Small Cap Fund - Regular Plan - Dividend","03 Apr, 2020","13.3820"
"Diversified Equity","HDFC Small Cap Fund","130504","HDFC Small Cap Fund - Direct Plan - Dividend","03 Apr, 2020","16.9550"
"Diversified Equity","HDFC Small Cap Fund","130502","HDFC Small Cap Fund - Regular Plan - Growth","03 Apr, 2020","25.4170"
"Diversified Equity","HDFC Small Cap Fund","130503","HDFC Small Cap Fund - Direct Plan - Growth","03 Apr, 2020","27.4910"
"Diversified Equity","HDFC Top 100 Fund","102001","HDFC Top 100 Fund - Dividend Plan","03 Apr, 2020","27.7130"
"Diversified Equity","HDFC Top 100 Fund","119017","HDFC Top 100 Fund - Dividend Option - Direct Plan","03 Apr, 2020","29.8870"
"Diversified Equity","HDFC Top 100 Fund","102000","HDFC Top 100 Fund - Growth Plan","03 Apr, 2020","328.2500"
"Diversified Equity","HDFC Top 100 Fund","119018","HDFC Top 100 Fund - Growth Option - Direct Plan","03 Apr, 2020","344.1250"
"Diversified Equity","HDFC Capital Builder Value Fund","101765","HDFC Capital Builder Value Fund - Dividend Plan","03 Apr, 2020","14.0470"
"Diversified Equity","HDFC Capital Builder Value Fund","118934","HDFC Capital Builder Value Fund - Dividend Option - Direct Plan","03 Apr, 2020","15.5340"
"Diversified Equity","HDFC Capital Builder Value Fund","101764","HDFC Capital Builder Value Fund - Growth Plan","03 Apr, 2020","187.3000"
"Diversified Equity","HDFC Capital Builder Value Fund","118935","HDFC Capital Builder Value Fund - Growth Option - Direct Plan","03 Apr, 2020","199.5590"
"Diversified Equity","HDFC Focused 30 Fund","102761","HDFC Focused 30 Fund - DIVIDEND PLAN","03 Apr, 2020","9.5000"
"Diversified Equity","HDFC Focused 30 Fund","118949","HDFC Focused 30 Fund - Dividend Option - Direct Plan","03 Apr, 2020","10.6310"
"Diversified Equity","HDFC Focused 30 Fund","102760","HDFC Focused 30 Fund - GROWTH PLAN","03 Apr, 2020","51.0610"
"Diversified Equity","HDFC Focused 30 Fund","118950","HDFC Focused 30 Fund - Growth Option - Direct Plan","03 Apr, 2020","54.3410"
"Diversified Equity","HDFC Growth Opportunities Fund","130497","HDFC Growth Opportunities Fund - Dividend Option","03 Apr, 2020","11.3620"
"Diversified Equity","HDFC Growth Opportunities Fund","130499","HDFC Growth Opportunities Fund - Dividend Option - Direct Plan","03 Apr, 2020","13.5100"
"Diversified Equity","HDFC Growth Opportunities Fund","130496","HDFC Growth Opportunities Fund - Growth Option","03 Apr, 2020","77.3180"
"Diversified Equity","HDFC Growth Opportunities Fund","130498","HDFC Growth Opportunities Fund - Growth Option - Direct Plan","03 Apr, 2020","78.3040"
"Thematic Equity","HDFC Infrastructure Fund","107525","HDFC Infrastructure Fund - Dividend","03 Apr, 2020","5.1780"
"Thematic Equity","HDFC Infrastructure Fund","118978","HDFC Infrastructure Fund - Direct Plan - Dividend","03 Apr, 2020","7.0590"
"Thematic Equity","HDFC Infrastructure Fund","107524","HDFC Infrastructure Fund - Growth","03 Apr, 2020","8.6750"
"Thematic Equity","HDFC Infrastructure Fund","118979","HDFC Infrastructure Fund - Direct Plan - Growth Option","03 Apr, 2020","9.1990"
"Equity Linked Savings Scheme (ELSS)","HDFC Long Term Advantage Fund","100997","HDFC Long Term Advantage Fund - Dividend","03 Apr, 2020","23.2360"
"Equity Linked Savings Scheme (ELSS)","HDFC Long Term Advantage Fund","118928","HDFC Long Term Advantage Fund - Direct Plan - Dividend","03 Apr, 2020","25.4120"
"Equity Linked Savings Scheme (ELSS)","HDFC Long Term Advantage Fund","100998","HDFC Long Term Advantage Fund - Growth","03 Apr, 2020","243.6120"
"Equity Linked Savings Scheme (ELSS)","HDFC Long Term Advantage Fund","118929","HDFC Long Term Advantage Fund - Direct Plan - Growth Option","03 Apr, 2020","253.9700"
"Equity Linked Savings Scheme (ELSS)","HDFC TaxSaver","101980","HDFC TaxSaver - Dividend","03 Apr, 2020","30.1750"
"Equity Linked Savings Scheme (ELSS)","HDFC TaxSaver","119059","HDFC Tax Saver - Direct Plan - Dividend","03 Apr, 2020","34.9560"
"Equity Linked Savings Scheme (ELSS)","HDFC TaxSaver","101979","HDFC TaxSaver - Growth","03 Apr, 2020","340.1870"
"Equity Linked Savings Scheme (ELSS)","HDFC TaxSaver","119060","HDFC Tax Saver - Direct Plan - Growth Option","03 Apr, 2020","355.8200"
"Hybrid","HDFC Arbitrage Fund","106799","HDFC Arbitrage Fund - Retail Plan - Dividend","03 Apr, 2020","16.8880"
"Hybrid","HDFC Arbitrage Fund","106797","HDFC Arbitrage Fund - Retail Plan - Quarterly Dividend","03 Apr, 2020","16.1540"
"Hybrid","HDFC Arbitrage Fund","118930","HDFC Arbitrage Fund - Retail Plan - Direct Plan - Quarterly Dividend","03 Apr, 2020","17.8840"
"Hybrid","HDFC Arbitrage Fund","106796","HDFC Arbitrage Fund - Retail Plan - Growth","03 Apr, 2020","22.7370"
"Hybrid","HDFC Arbitrage Fund","118931","HDFC Arbitrage Fund - Retail Plan - Direct Plan - Growth Option","03 Apr, 2020","23.5990"
"Hybrid","HDFC Arbitrage Fund","129051","HDFC ARBITRAGE FUND - Wholesale Monthly Div Option","03 Apr, 2020","10.8090"
"Hybrid","HDFC Arbitrage Fund","129054","HDFC Arbitrage Fund - Wholesale Plan -Monthly Dividend - Direct Plan","03 Apr, 2020","10.4860"
"Hybrid","HDFC Arbitrage Fund","106795","HDFC Arbitrage Fund Wholesale Plan Normal Dividend Option","03 Apr, 2020","10.3440"
"Hybrid","HDFC Arbitrage Fund","129053","HDFC Arbitrage Fund - Wholesale Plan - Normal Dividend- Direct Plan","03 Apr, 2020","10.7340"
"Hybrid","HDFC Arbitrage Fund","106793","HDFC Arbitrage Fund - Wholesale Plan - Growth","03 Apr, 2020","23.2610"
"Hybrid","HDFC Arbitrage Fund","129052","HDFC Arbitrage Fund - Wholesale Plan - Growth - Direct Plan","03 Apr, 2020","14.8880"
"Hybrid","HDFC Equity Savings Fund","101586","HDFC Equity Savings Fund - Dividend","03 Apr, 2020","9.1340"
"Hybrid","HDFC Equity Savings Fund","119129","HDFC Equity Savings Fund - Direct Plan - Dividend","03 Apr, 2020","9.9530"
"Hybrid","HDFC Equity Savings Fund","101585","HDFC Equity Savings Fund - Growth","03 Apr, 2020","32.4060"
"Hybrid","HDFC Equity Savings Fund","119128","HDFC Equity Savings Fund - Direct Plan - Growth Option","03 Apr, 2020","34.6240"
"Hybrid","HDFC Balanced Advantage Fund","100120","HDFC Balanced Advantage Fund - Dividend Plan","03 Apr, 2020","18.2270"
"Hybrid","HDFC Balanced Advantage Fund","118969","HDFC Balanced Advantage Fund - Dividend Plan - Direct Plan","03 Apr, 2020","19.5520"
"Hybrid","HDFC Balanced Advantage Fund","100119","HDFC Balanced Advantage Fund - Growth Plan","03 Apr, 2020","144.4010"
"Hybrid","HDFC Balanced Advantage Fund","118968","HDFC Balanced Advantage Fund - Growth Plan - Direct Plan","03 Apr, 2020","151.0770"
"Hybrid","HDFC Hybrid Equity Fund","102947","HDFC Hybrid Equity Fund - Dividend Plan","03 Apr, 2020","8.1960"
"Hybrid","HDFC Hybrid Equity Fund","119061","HDFC Hybrid Equity Fund - Dividend Option - Direct Plan","03 Apr, 2020","8.7900"
"Hybrid","HDFC Hybrid Equity Fund","102948","HDFC Hybrid Equity Fund - Growth Plan","03 Apr, 2020","40.7920"
"Hybrid","HDFC Hybrid Equity Fund","119062","HDFC Hybrid Equity Fund - Growth Option - Direct Plan","03 Apr, 2020","42.7510"
"Hybrid","HDFC Hybrid Debt Fund","102148","HDFC Hybrid Debt Fund - Dividend Monthly","03 Apr, 2020","11.3179"
"Hybrid","HDFC Hybrid Debt Fund","119119","HDFC Hybrid Debt Fund - Dividend Monthly - Direct Plan","03 Apr, 2020","11.9185"
"Hybrid","HDFC Hybrid Debt Fund","102149","HDFC Hybrid Debt Fund - Dividend Quarterly","03 Apr, 2020","11.8821"
"Hybrid","HDFC Hybrid Debt Fund","119120","HDFC Hybrid Debt Fund - Dividend Quarterly - Direct Plan","03 Apr, 2020","12.5126"
"Hybrid","HDFC Hybrid Debt Fund","102147","HDFC Hybrid Debt Fund - Growth Plan","03 Apr, 2020","43.6738"
"Hybrid","HDFC Hybrid Debt Fund","119118","HDFC Hybrid Debt Fund - Growth Option - Direct Plan","03 Apr, 2020","45.2956"
"Hybrid","HDFC Multi-Asset Fund","103130","HDFC Multi-Asset Fund - Dividend Option","03 Apr, 2020","9.5400"
"Hybrid","HDFC Multi-Asset Fund","119130","HDFC Multi-Asset Fund - Dividend Option - Direct Plan","03 Apr, 2020","10.4660"
"Hybrid","HDFC Multi-Asset Fund","103131","HDFC Multi-Asset Fund - Growth Option","03 Apr, 2020","26.7590"
"Hybrid","HDFC Multi-Asset Fund","119131","HDFC Multi-Asset Fund - Growth Option - Direct Plan","03 Apr, 2020","27.9620"
"Solution Oriented","HDFC Retirement Savings Fund - Hybrid Equity Plan","136463","HDFC Retirement Savings Fund - Hybrid - Equity Plan -Regular Plan- Growth Option","03 Apr, 2020","13.3550"
"Solution Oriented","HDFC Retirement Savings Fund - Hybrid Equity Plan","136464","HDFC Retirement Savings Fund -Hybrid - Equity Plan -Direct Plan- Growth Option","03 Apr, 2020","14.2190"
"Solution Oriented","HDFC Retirement Savings Fund Equity Plan","136090","HDFC Retirement Savings Fund -Equity Plan -Regular Plan - Growth Option","03 Apr, 2020","12.1840"
"Solution Oriented","HDFC Retirement Savings Fund Equity Plan","136094","HDFC Retirement Savings Fund - Equity Plan - Direct Plan -Growth Option","03 Apr, 2020","12.9670"
"Solution Oriented","HDFC Children's Gift Fund ","100900","HDFC Children's Gift Fund - Investment Plan","03 Apr, 2020","94.5990"
"Solution Oriented","HDFC Children's Gift Fund ","119066","HDFC Children's Gift Fund - Direct Plan - Investment Plan","03 Apr, 2020","100.3550"
"Solution Oriented","HDFC Retirement Savings Fund- Hybrid- Debt Plan","136466","HDFC Retirement Savings Fund - Hybrid - Debt Plan - Regular Plan- Growth Option","03 Apr, 2020","13.1996"
"Solution Oriented","HDFC Retirement Savings Fund- Hybrid- Debt Plan","136465","HDFC Retirement Savings Fund -Hybrid - Debt Plan - Direct Plan - Growth Option","03 Apr, 2020","14.0038"
"Theme Based Debt","HDFC Banking and PSU Debt Fund","128627","HDFC Banking and PSU Debt Fund - Regular Dividend Option","03 Apr, 2020","10.2843"
"Theme Based Debt","HDFC Banking and PSU Debt Fund","128626","HDFC Banking and PSU Debt Fund - Direct Dividend Option","03 Apr, 2020","10.3460"
"Theme Based Debt","HDFC Banking and PSU Debt Fund","128628","HDFC Banking and PSU Debt Fund - Regular Growth Option","03 Apr, 2020","16.5136"
"Theme Based Debt","HDFC Banking and PSU Debt Fund","128629","HDFC Banking and PSU Debt Fund - Direct Growth Option","03 Apr, 2020","16.8185"
"Theme Based Debt","HDFC Dynamic Debt Fund","101874","HDFC Dynamic Debt Fund - Half Yearly Dividend Option","03 Apr, 2020","10.9677"
"Theme Based Debt","HDFC Dynamic Debt Fund","119072","HDFC Dynamic Debt Fund - Half Yearly Dividend - Direct Plan","03 Apr, 2020","12.1905"
"Theme Based Debt","HDFC Dynamic Debt Fund","101873","HDFC Dynamic Debt Fund - Quarterly Dividend Option","03 Apr, 2020","11.5600"
"Theme Based Debt","HDFC Dynamic Debt Fund","119073","HDFC Dynamic Debt Fund - Quarterly Dividend - Direct Plan","03 Apr, 2020","12.2906"
"Theme Based Debt","HDFC Dynamic Debt Fund","101875","HDFC Dynamic Debt Fund - Yearly Dividend Option","03 Apr, 2020","12.3734"
"Theme Based Debt","HDFC Dynamic Debt Fund","119074","HDFC Dynamic Debt Fund - Yearly Dividend - Direct Plan","03 Apr, 2020","13.1793"
"Theme Based Debt","HDFC Dynamic Debt Fund","101872","HDFC Dynamic Debt Fund - Growth Option","03 Apr, 2020","63.6345"
"Theme Based Debt","HDFC Dynamic Debt Fund","119075","HDFC Dynamic Debt Fund - Growth Option - Direct Plan","03 Apr, 2020","67.1622"
"Theme Based Debt","HDFC Dynamic Debt Fund","133370","HDFC Dynamic Debt Fund - Normal Dividend Option","03 Apr, 2020","13.6324"
"Theme Based Debt","HDFC Dynamic Debt Fund","133369","HDFC Dynamic Debt Fund - Normal Dividend - Direct Plan","03 Apr, 2020","14.1414"
"Theme Based Debt","HDFC Corporate Bond Fund","113071","HDFC Corporate Bond Fund - Quarterly Dividend Option","03 Apr, 2020","10.4254"
"Theme Based Debt","HDFC Corporate Bond Fund","118986","HDFC Corporate Bond Fund - Quarterly Div Option - Direct Plan","03 Apr, 2020","10.4905"
"Theme Based Debt","HDFC Corporate Bond Fund","113070","HDFC Corporate Bond Fund - Growth Option","03 Apr, 2020","22.8741"
"Theme Based Debt","HDFC Corporate Bond Fund","118987","HDFC Corporate Bond Fund - Growth Option - Direct Plan","03 Apr, 2020","23.0439"
"Theme Based Debt","HDFC Corporate Bond Fund","132848","HDFC Corporate Bond Fund - Dividend Option","03 Apr, 2020","15.5577"
"Theme Based Debt","HDFC Corporate Bond Fund","132849","HDFC Corporate Bond Fund - Dividend Option - Direct Plan","03 Apr, 2020","15.8162"
"Theme Based Debt","HDFC Credit Risk Debt Fund","128052","HDFC Credit Risk Debt Fund - Quarterly Dividend Option","03 Apr, 2020","10.4096"
"Theme Based Debt","HDFC Credit Risk Debt Fund","128050","HDFC Credit Risk Debt Fund - Quarterly Dividend - Direct Plan","03 Apr, 2020","10.5319"
"Theme Based Debt","HDFC Credit Risk Debt Fund","128053","HDFC Credit Risk Debt Fund - Growth Option","03 Apr, 2020","16.6344"
"Theme Based Debt","HDFC Credit Risk Debt Fund","128051","HDFC Credit Risk Debt Fund - Growth Option - Direct Plan","03 Apr, 2020","17.4317"
"Theme Based Debt","HDFC Credit Risk Debt Fund","133148","HDFC Credit Risk Debt Fund - Dividend Option","03 Apr, 2020","15.3166"
"Theme Based Debt","HDFC Credit Risk Debt Fund","133147","HDFC Credit Risk Debt Fund - Dividend Option - Direct Plan","03 Apr, 2020","15.2802"
"Theme Based Debt","HDFC Gilt Fund","101084","HDFC Gilt Fund - Dividend Plan","03 Apr, 2020","11.5738"
"Theme Based Debt","HDFC Gilt Fund","119115","HDFC Gilt Fund - Dividend Option - Direct Plan","03 Apr, 2020","12.0084"
"Theme Based Debt","HDFC Gilt Fund","101083","HDFC Gilt Fund - Growth Plan","03 Apr, 2020","40.7141"
"Theme Based Debt","HDFC Gilt Fund","119116","HDFC Gilt Fund - Growth Option - Direct Plan","03 Apr, 2020","41.8908"
"Theme Based Debt","HDFC Floating Rate Debt Fund","101483","HDFC Floating Rate  Debt Fund - Retail Daily Div Option","10 May, 2019","10.0809"
"Theme Based Debt","HDFC Floating Rate Debt Fund","101482","HDFC Floating Rate  Debt Fund - Retail Weekly Div Option","10 May, 2019","10.1483"
"Theme Based Debt","HDFC Floating Rate Debt Fund","101484","HDFC Floating Rate  Debt Fund - Retail Monthly Div Option","10 May, 2019","10.1682"
"Theme Based Debt","HDFC Floating Rate Debt Fund","101481","HDFC Floating Rate  Debt Fund - Retail Growth Option","10 May, 2019","31.6659"
"Theme Based Debt","HDFC Floating Rate Debt Fund","118959","HDFC Floating Rate  Debt Fund - Direct Plan - Daily Div","03 Apr, 2020","10.0809"
"Theme Based Debt","HDFC Floating Rate Debt Fund","118962","HDFC Floating Rate  Debt Fund - Direct Plan - Weekly Div","03 Apr, 2020","10.1716"
"Theme Based Debt","HDFC Floating Rate Debt Fund","118960","HDFC Floating Rate  Debt Fund - Direct Plan - Monthly Div","03 Apr, 2020","10.1944"
"Theme Based Debt","HDFC Floating Rate Debt Fund","118961","HDFC Floating Rate  Debt Fund - Direct Plan - Growth Option","03 Apr, 2020","35.3918"
"Theme Based Debt","HDFC Floating Rate Debt Fund","106838","HDFC Floating Rate  Debt Fund - Wholesale Daily Div Option","03 Apr, 2020","10.0809"
"Theme Based Debt","HDFC Floating Rate Debt Fund","106840","HDFC Floating Rate  Debt Fund - Wholesale Weekly Div Option","03 Apr, 2020","10.1705"
"Theme Based Debt","HDFC Floating Rate Debt Fund","106839","HDFC Floating Rate  Debt Fund - Wholesale Monthly Div Option","03 Apr, 2020","10.1928"
"Theme Based Debt","HDFC Floating Rate Debt Fund","106841","HDFC Floating Rate  Debt Fund - Wholesale Growth Option","03 Apr, 2020","35.1214"
"Duration Based Debt","HDFC Income Fund","100123","HDFC Income Fund - Dividend","03 Apr, 2020","11.1584"
"Duration Based Debt","HDFC Income Fund","119068","HDFC Income Fund - Direct Plan - Dividend","03 Apr, 2020","11.8807"
"Duration Based Debt","HDFC Income Fund","100124","HDFC Income Fund - Growth","03 Apr, 2020","43.8316"
"Duration Based Debt","HDFC Income Fund","119069","HDFC Income Fund - Direct Plan - Growth Option","03 Apr, 2020","46.2034"
"Duration Based Debt","HDFC Income Fund","133366","HDFC Income Fund - Normal Dividend","03 Apr, 2020","13.8214"
"Duration Based Debt","HDFC Income Fund","133365","HDFC Income Fund - Direct Plan - Normal Dividend","03 Apr, 2020","14.6113"
"Duration Based Debt","HDFC Liquid Fund","100875","HDFC Liquid Fund - Dividend - Daily Reinvest","06 Apr, 2020","1,019.8200"
"Duration Based Debt","HDFC Liquid Fund","119089","HDFC Liquid Fund - Dividend Daily - Direct Plan","06 Apr, 2020","1,019.8200"
"Duration Based Debt","HDFC Liquid Fund","100874","HDFC Liquid Fund - Dividend Plan Weekly","06 Apr, 2020","1,035.2877"
"Duration Based Debt","HDFC Liquid Fund","119088","HDFC Liquid Fund - Dividend Weekly - Direct Plan","06 Apr, 2020","1,035.3469"
"Duration Based Debt","HDFC Liquid Fund","100876","HDFC Liquid Fund - Dividend Monthly","06 Apr, 2020","1,033.6855"
"Duration Based Debt","HDFC Liquid Fund","119090","HDFC Liquid Fund - Dividend Monthly - Direct Plan","06 Apr, 2020","1,033.8041"
"Duration Based Debt","HDFC Liquid Fund","100868","HDFC Liquid Fund - Growth Plan","06 Apr, 2020","3,887.3485"
"Duration Based Debt","HDFC Liquid Fund","119091","HDFC Liquid Fund - Growth Option - Direct Plan","06 Apr, 2020","3,910.4312"
"Duration Based Debt","HDFC Medium Term Debt Fund","101990","HDFC Medium Term Debt Fund - Fornightly Dividend Option","03 Apr, 2020","10.5528"
"Duration Based Debt","HDFC Medium Term Debt Fund","119080","HDFC Medium Term Debt Fund - Fortnightly Div Opt - Direct Plan","03 Apr, 2020","10.5895"
"Duration Based Debt","HDFC Medium Term Debt Fund","101989","HDFC Medium Term Debt Fund - Growth Option","03 Apr, 2020","40.2697"
"Duration Based Debt","HDFC Medium Term Debt Fund","119081","HDFC Medium Term Debt Fund - Growth Option - Direct Plan","03 Apr, 2020","42.0774"
"Duration Based Debt","HDFC Medium Term Debt Fund","132852","HDFC Medium Term Debt Fund - Dividend Option","03 Apr, 2020","15.2784"
"Duration Based Debt","HDFC Medium Term Debt Fund","132853","HDFC Medium Term Debt Fund - Dividend Option - Direct Plan","03 Apr, 2020","15.7508"
"Duration Based Debt","HDFC Low Duration Fund","105547","HDFC Low Duration  Fund - Wholesale Daily Dividend","10 May, 2019","10.1574"
"Duration Based Debt","HDFC Low Duration Fund","105545","HDFC Low Duration  Fund - Wholesale Weekly Dividend","10 May, 2019","10.1734"
"Duration Based Debt","HDFC Low Duration Fund","105546","HDFC Low Duration  Fund - Wholesale Monthly Dividend","10 May, 2019","10.1856"
"Duration Based Debt","HDFC Low Duration Fund","105544","HDFC Low Duration  Fund - Wholesale Growth","10 May, 2019","41.8371"
"Duration Based Debt","HDFC Low Duration Fund","105548","HDFC Low Duration  Fund - Retail Daily Dividend","03 Apr, 2020","10.1428"
"Duration Based Debt","HDFC Low Duration Fund","118945","HDFC Low Duration  Fund - Direct Plan - Daily Dividend","03 Apr, 2020","10.0655"
"Duration Based Debt","HDFC Low Duration Fund","102453","HDFC Low Duration  Fund - Retail Weekly Dividend","03 Apr, 2020","10.2032"
"Duration Based Debt","HDFC Low Duration Fund","118944","HDFC Low Duration  Fund - Direct Plan - Weekly Dividend","03 Apr, 2020","10.2370"
"Duration Based Debt","HDFC Low Duration Fund","105543","HDFC Low Duration  Fund - Retail Monthly Dividend","03 Apr, 2020","10.1961"
"Duration Based Debt","HDFC Low Duration Fund","118943","HDFC Low Duration  Fund - Direct Plan - Monthly Dividend","03 Apr, 2020","10.2052"
"Duration Based Debt","HDFC Low Duration Fund","102452","HDFC Low Duration  Fund - Retail Growth","03 Apr, 2020","42.0984"
"Duration Based Debt","HDFC Low Duration Fund","118942","HDFC Low Duration  Fund - Direct Plan - Growth","03 Apr, 2020","44.2333"
"Duration Based Debt","HDFC Money Market Fund","101994","HDFC Money Market Fund - Daily Dividend Option","03 Apr, 2020","1,063.6400"
"Duration Based Debt","HDFC Money Market Fund","119093","HDFC Money Market Fund - Daily Dividend Option - Direct Plan","03 Apr, 2020","1,063.6400"
"Duration Based Debt","HDFC Money Market Fund","101995","HDFC Money Market Fund - Weekly Dividend Option","03 Apr, 2020","1,068.0012"
"Duration Based Debt","HDFC Money Market Fund","119094","HDFC Money Market Fund - Weekly Dividend Option -Direct Plan","03 Apr, 2020","1,068.1652"
"Duration Based Debt","HDFC Money Market Fund","101993","HDFC Money Market Fund - Growth Option","03 Apr, 2020","4,177.2729"
"Duration Based Debt","HDFC Money Market Fund","119092","HDFC Money Market Fund - Growth Option - Direct Plan","03 Apr, 2020","4,223.1814"
"Duration Based Debt","HDFC Short Term Debt Fund","113048","HDFC Short Term Opportunities Fund - Dividend","03 Apr, 2020","10.3117"
"Duration Based Debt","HDFC Short Term Debt Fund","119015","HDFC Short Term Opportunities Fund - Direct Plan - Dividend","03 Apr, 2020","10.3831"
"Duration Based Debt","HDFC Short Term Debt Fund","113047","HDFC Short Term Opportunities Fund - Growth","03 Apr, 2020","22.6133"
"Duration Based Debt","HDFC Short Term Debt Fund","119016","HDFC Short Term Opportunities Fund - Direct Plan - Growth Option","03 Apr, 2020","22.8620"
"Duration Based Debt","HDFC Short Term Debt Fund","133368","HDFC Short Term Opportunities Fund - Normal Dividend","03 Apr, 2020","15.2044"
"Duration Based Debt","HDFC Short Term Debt Fund","133367","HDFC Short Term Opportunities Fund - Direct Plan - Normal Dividend","03 Apr, 2020","15.2822"
"Duration Based Debt","HDFC Overnight Fund","101997","HDFC Overnight Fund - Dividend Option (Daily)","06 Apr, 2020","1,042.6600"
"Duration Based Debt","HDFC Overnight Fund","119109","HDFC Overnight Fund - Dividend Option - Direct Plan","06 Apr, 2020","1,042.6600"
"Duration Based Debt","HDFC Overnight Fund","101996","HDFC Overnight Fund - Growth Option","06 Apr, 2020","2,955.6328"
"Duration Based Debt","HDFC Overnight Fund","119110","HDFC Overnight Fund - Growth Option - Direct Plan","06 Apr, 2020","2,969.9576"
"Duration Based Debt","HDFC Ultra Short Term Fund","145041","HDFC Ultra Short Term Fund-Daily Dividend Option","03 Apr, 2020","10.0700"
"Duration Based Debt","HDFC Ultra Short Term Fund","145039","HDFC Ultra Short Term Fund-Direct Plan-Daily Dividend Option","03 Apr, 2020","10.0600"
"Duration Based Debt","HDFC Ultra Short Term Fund","145038","HDFC Ultra Short Term Fund-Weekly Dividend Option","03 Apr, 2020","10.1369"
"Duration Based Debt","HDFC Ultra Short Term Fund","145035","HDFC Ultra Short Term Fund-Direct Plan-Weekly Dividend Option","03 Apr, 2020","10.1335"
"Duration Based Debt","HDFC Ultra Short Term Fund","145037","HDFC Ultra Short Term Fund-Monthly Dividend Option","03 Apr, 2020","10.1599"
"Duration Based Debt","HDFC Ultra Short Term Fund","145036","HDFC Ultra Short Term Fund-Direct Plan-Monthly Dividend Option","03 Apr, 2020","10.1233"
"Duration Based Debt","HDFC Ultra Short Term Fund","145040","HDFC Ultra Short Term Fund-Growth Option","03 Apr, 2020","11.2144"
"Duration Based Debt","HDFC Ultra Short Term Fund","145034","HDFC Ultra Short Term Fund-Direct Plan-Growth Option","03 Apr, 2020","11.2678"
"Index/ETF","HDFC Index Fund - SENSEX Plan","101281","HDFC Index Fund - Sensex Plan","03 Apr, 2020","245.1387"
"Index/ETF","HDFC Index Fund - SENSEX Plan","119065","HDFC Index Fund - Sensex Plan - Direct Plan - Growth Option","03 Apr, 2020","248.6509"
"Index/ETF","HDFC SENSEX Exchange Traded Fund","135854","HDFC SENSEX ETF","03 Apr, 2020","2,914.1800"
"Index/ETF","HDFC Index Fund-NIFTY 50 Plan","101525","HDFC Index Fund-NIFTY 50 Plan - Growth Plan","03 Apr, 2020","73.7723"
"Index/ETF","HDFC Index Fund-NIFTY 50 Plan","119063","HDFC Index Fund-NIFTY 50 Plan - Direct Plan","03 Apr, 2020","74.6923"
"Index/ETF","HDFC NIFTY 50 Exchange Traded Fund","135853","HDFC NIFTY 50 Exchange Traded Fund - Growth Plan","03 Apr, 2020","849.1000"
"Gold ETF/FOF","HDFC Gold Fund","115934","HDFC Gold Fund","03 Apr, 2020","14.2307"
"Gold ETF/FOF","HDFC Gold Fund","119132","HDFC Gold Fund - Direct Plan - Growth Option","03 Apr, 2020","14.6294"
"Gold ETF/FOF","HDFC Gold Exchange Traded Fund","113049","HDFC Gold Exchange Traded Fund","03 Apr, 2020","3,980.3581"
"Gold ETF/FOF","HDFC Dynamic PE Ratio Fund of Funds","130540","HDFC Dynamic PE Ratio Fund of Funds - Regular Dividend Reinvestment","03 Apr, 2020","13.3710"
"Gold ETF/FOF","HDFC Dynamic PE Ratio Fund of Funds","130547","HDFC Dynamic PE Ratio Fund of Funds - Direct Dividend Reinvestment","03 Apr, 2020","14.2170"
"Gold ETF/FOF","HDFC Dynamic PE Ratio Fund of Funds","130533","HDFC Dynamic PE Ratio Fund of Funds - Regular Growth Plan","03 Apr, 2020","15.2599"
"Gold ETF/FOF","HDFC Dynamic PE Ratio Fund of Funds","130543","HDFC Dynamic PE Ratio Fund of Funds - Direct Growth Plan","03 Apr, 2020","16.1872"
"Close Ended","HDFC Equity Opp Fund - II - 1126D May 2017 (1)","141431","HDFC Equity Opportunities Fund - II - 1126D May 2017 (1) - Regular - Normal Dividend","03 Apr, 2020","7.9970"
"Close Ended","HDFC Equity Opp Fund - II - 1126D May 2017 (1)","141428","HDFC Equity Opportunities Fund - II - 1126D May 2017 (2) - Direct - Normal Dividend","03 Apr, 2020","8.2520"
"Close Ended","HDFC Equity Opp Fund - II - 1126D May 2017 (1)","141429","HDFC Equity Opportunities Fund - II - 1126D May 2017 (1) - Regular - Growth","03 Apr, 2020","7.9970"
